fecha,descripcion,ambito,id_municipio,lugar
2025-06-13,festivo local,municipal,27009,Carballedo
2025-03-04,Martes de Entroido,municipal,27010,Castro de Rei
2025-08-11,San Roque e Doce Nome de Mar�a,municipal,27010,Castro de Rei
2025-03-04,Martes de Entroido,municipal,27011,Castroverde
2025-07-24,d�a anterior ao Santiago Ap�stolo,municipal,27011,Castroverde
2025-05-20,festivo local,municipal,27012,Cervantes
2025-12-26,festivo local,municipal,27012,Cervantes
2025-03-04,Martes de Entroido,municipal,27013,Cervo
2025-07-16,Nosa Se�ora do Carme,municipal,27013,Cervo
2025-03-04,Martes de Entroido,municipal,27014,O Corgo
2025-06-24,San Xo�n,municipal,27014,O Corgo
2025-03-04,Martes de Entroido,municipal,27015,Cospeito
2025-09-08,Nosa Se�ora Virxe do Monte,municipal,27015,Cospeito
2025-08-26,festa da Empanada,municipal,27016,Chantada
2025-09-08,Virxe do Faro,municipal,27016,Chantada
2025-08-19,festivo local,municipal,27017,Folgoso do Courel
2025-12-05,festivo local,municipal,27017,Folgoso do Courel
2025-03-04,Martes de Entroido,municipal,27018,A Fonsagrada
2025-09-08,festas patronais da Fonsagrada,municipal,27018,A Fonsagrada
2025-03-04,Martes de Entroido,municipal,27019,Foz
2025-07-16,O Carme,municipal,27019,Foz
2025-03-04,Martes de Entroido,municipal,27020,Friol
2025-07-14,Luns de Santa Isabel,municipal,27020,Friol
2025-03-04,Martes de Entroido,municipal,27021,Xermade
2025-08-11,Luns de Santa Mar�a,municipal,27021,Xermade
2025-03-04,Martes de Entroido,municipal,27022,Guitiriz
2025-06-24,San Xo�n,municipal,27022,Guitiriz
2025-03-04,Martes de Entroido,municipal,27023,Guntín
2025-07-07,luns da festa,municipal,27023,Guntín
2025-03-04,Martes de Entroido,municipal,27024,O Incio
2025-05-15,San Eufrasio,municipal,27024,O Incio
2025-06-13,Santo Antonio,municipal,27025,Xove
2025-09-01,festa patronal,municipal,27025,Xove
2025-03-04,Martes de Entroido,municipal,27026,Láncara
2025-08-18,Luns de San Roque,municipal,27026,Láncara
2025-03-04,Martes de Entroido,municipal,27027,Lourenzá
2025-09-01,Luns do Conde Santo,municipal,27027,Lourenzá
2025-03-04,Martes de Entroido,municipal,27028,Lugo
2025-10-06,San Froil�n,municipal,27028,Lugo
2025-03-04,Martes de Entroido,municipal,27029,Meira
2025-08-16,festas patronais,municipal,27029,Meira
2025-09-15,Nosa Se�ora dos Remedios,municipal,27030,Mondoñedo
2025-10-18,San Lucas,municipal,27030,Mondoñedo
2025-04-22,Martes de Pascua,municipal,27031,Monforte de Lemos
2025-06-13,Santo Ant�n,municipal,27031,Monforte de Lemos
2025-07-10,San Cristovo,municipal,27032,Monterroso
2025-09-29,San Miguel,municipal,27032,Monterroso
2025-03-04,Martes de Entroido,municipal,27033,Muras
2025-06-30,San Pedro de Muras,municipal,27033,Muras
2025-03-04,Martes de Entroido,municipal,27034,Navia de Suarna
2025-09-22,Virxe das Dores,municipal,27034,Navia de Suarna
2025-03-04,Martes de Entroido,municipal,27035,Negueira de Muñiz
2025-08-18,Virxe da Veiga,municipal,27035,Negueira de Muñiz
2025-03-04,Martes de Entroido,municipal,27037,As Nogais
2025-08-01,festa do Emigrante,municipal,27037,As Nogais
2025-05-13,Nosa Se�ora de F�tima,municipal,27038,Ourol
2025-08-25,Luns de Naseiro,municipal,27038,Ourol
2025-03-04,Martes de Entroido,municipal,27039,Outeiro de Rei
2025-07-07,Luns de Santa Isabel,municipal,27039,Outeiro de Rei
2025-01-28,San Tirso,municipal,27040,Palas de Rei
2025-03-04,Martes de Entroido,municipal,27040,Palas de Rei
2025-03-04,Martes de Entroido,municipal,27041,Pantón
2025-08-18,festas locais,municipal,27041,Pantón
2025-03-04,Martes de Entroido,municipal,27042,Paradela
2025-09-29,San Miguel,municipal,27042,Paradela
2025-03-04,Martes de Entroido,municipal,27043,O Páramo
2025-06-06,festas da Primavera,municipal,27043,O Páramo
2025-03-04,Martes de Entroido,municipal,27044,A Pastoriza
2025-10-18,San Lucas,municipal,27044,A Pastoriza
2025-06-13,Santo Ant�n,municipal,27045,Pedrafita do Cebreiro
2025-09-09,romar�a do Santo Milagre do Cebreiro,municipal,27045,Pedrafita do Cebreiro
2025-03-04,Martes de Entroido,municipal,27046,Pol
2025-08-25,festa do Emigrante,municipal,27046,Pol
2025-03-04,Martes de Entroido,municipal,27047,A Pobra do Brollón
2025-08-27,San Vitorio,municipal,27047,A Pobra do Brollón
2025-03-04,Martes de Entroido,municipal,27048,A Pontenova
2025-10-06,Luns das Feiras,municipal,27048,A Pontenova
2025-03-04,Martes de Entroido,municipal,27049,Portomarín
2025-09-08,Santo Cristo das Vitorias,municipal,27049,Portomarín
2025-04-21,Luns de Pascua,municipal,27050,Quiroga
2025-11-11,San Marti�o,municipal,27050,Quiroga
2025-03-04,Martes de Entroido,municipal,27051,Ribadeo
2025-09-08,Santa Mar�a do Campo (patroa de Ribadeo),municipal,27051,Ribadeo
2025-08-18,festas patronais,municipal,27052,Ribas de Sil
2025-10-31,San Claudio,municipal,27052,Ribas de Sil
2025-03-04,Martes de Entroido,municipal,27053,Ribeira de Piquín
2025-04-23,San Xurxo,municipal,27053,Ribeira de Piquín
2025-03-04,Martes de Entroido,municipal,27054,Riotorto
2025-05-02,festivo local,municipal,27054,Riotorto
2025-03-04,Martes de Entroido,municipal,27055,Samos
2025-07-14,San Bieito,municipal,27055,Samos
2025-03-04,Martes de Entroido,municipal,27056,Rábade
2025-05-28,aniversario do Concello de R�bade,municipal,27056,Rábade
